no_instances,time_spent
0,0
1,4.294281
2,4.303359
3,5.032865
4,5.142871
5,5.254488
6,5.465933
7,5.623015
8,5.626475
9,5.978762
10,6.012805
11,6.016076
12,6.717932
13,6.973994
14,7.058209
15,7.239499
16,7.501257
17,7.526736
18,7.760884
19,7.896225
20,7.913464
21,7.914472
22,8.045742
23,8.090557
24,8.170291
25,8.375812
26,8.988316
27,9.257289
28,9.53665
29,9.738329
30,9.957454
31,10.281142
32,10.651823
33,10.752022
34,10.960518
35,11.315426
36,11.476768
37,11.656367
38,11.959351
39,12.053645
40,12.098259
41,12.171334
42,12.929616
43,13.200099
44,13.364331
45,13.390642
46,14.251284
47,14.396495
48,14.901328
49,15.069902
50,15.412157
51,15.719313
52,16.145194
53,16.284845
54,16.451265
55,16.531447
56,16.538274
57,16.793829
58,17.766589
59,17.85967
60,18.148906
61,19.180179
62,20.092333
63,20.277976
64,21.167878
65,21.398183
66,21.451843
67,22.034254
68,22.189382
69,22.258207
70,22.499078
71,22.604059
72,23.1072
73,23.212481
74,23.828893
75,24.953358
76,25.606216
77,25.853773
78,26.000043
79,27.239412
80,27.834894
81,28.272689
82,30.881637
83,31.111647
84,31.886386
85,32.335635
86,33.836895
87,35.062252
88,37.179079
89,39.765699
90,47.679884
91,49.262905
92,54.91164
93,64.306117
94,71.722297
95,81.102547
96,95.330512
97,102.307942
98,110.813742
99,114.157277
100,408.924521
100,414.212917
