no_instances,no_benders_iteration
0,0
1,9
2,9
3,12
4,12
5,13
6,13
7,13
8,15
9,15
10,15
11,17
12,17
13,17
14,17
15,18
16,19
17,19
18,19
19,20
20,20
21,20
22,21
23,21
24,22
25,22
26,25
27,25
28,25
29,26
30,27
31,28
32,28
33,29
34,29
35,29
36,29
37,31
38,31
39,32
40,32
41,33
42,33
43,34
44,34
45,35
46,37
47,37
48,37
49,37
50,38
51,39
52,39
53,40
54,40
55,40
56,42
57,43
58,43
59,43
60,44
61,44
62,45
63,47
64,49
65,51
66,52
67,52
68,53
69,54
70,59
71,59
72,67
73,67
74,68
75,68
76,70
77,71
78,74
79,77
80,79
81,81
82,85
83,86
84,87
85,90
86,95
87,101
88,105
89,110
90,111
91,132
92,134
93,148
94,152
95,163
96,196
97,199
98,300
99,332
100,475
100,553
