no_instances,no_benders_iteration
0,0
1,9
2,9
3,12
4,12
5,13
6,13
7,13
8,15
9,15
10,15
11,16
12,17
13,17
14,17
15,18
16,19
17,19
18,19
19,20
20,20
21,20
22,21
23,21
24,22
25,25
26,25
27,25
28,26
29,27
30,27
31,28
32,28
33,29
34,29
35,29
36,31
37,31
38,32
39,33
40,34
41,35
42,35
43,35
44,36
45,36
46,36
47,37
48,37
49,37
50,37
51,38
52,39
53,39
54,40
55,40
56,40
57,41
58,41
59,42
60,45
61,47
62,48
63,49
64,50
65,50
66,52
67,55
68,56
69,59
70,61
71,62
72,65
73,66
74,67
75,70
76,73
77,76
78,78
79,78
80,81
81,86
82,86
83,87
84,88
85,90
86,93
87,96
88,99
89,108
90,116
91,131
92,141
93,148
94,149
95,164
96,207
97,208
98,268
99,309
100,475
100,553
