no_instances,time_spent
0,0
1,0.037297
2,0.042196
3,0.048731
4,0.051931
5,0.054163
6,0.056397
7,0.058408
8,0.060205
9,0.0603
10,0.061298
11,0.061452
12,0.062026
13,0.06379
14,0.067003
15,0.06813
16,0.076352
17,0.251916
18,0.268464
19,0.2767
20,0.299695
21,0.304436
22,0.310335
23,0.315648
24,0.317283
25,0.327089
26,0.332748
27,0.336942
28,0.336992
29,0.33882
30,0.340437
31,0.34266
32,0.344188
33,0.348154
34,0.349855
35,0.350261
36,0.352074
37,0.353003
38,0.356654
39,0.3649
40,0.371407
41,0.372453
42,0.373477
43,0.375048
44,0.378367
45,0.38396
46,0.392161
47,0.392537
48,0.39515
49,0.400415
50,0.435079
51,0.479426
52,0.486208
53,0.496192
54,0.508295
55,0.510717
56,0.511199
57,0.513057
58,0.514521
59,0.517268
60,0.529379
61,0.54664
62,0.547241
63,0.555738
64,0.556472
65,0.609596
66,0.620636
67,0.646479
68,0.663832
69,0.668717
70,0.693948
71,0.695474
72,0.705675
73,0.711999
74,0.729836
75,0.737142
76,0.759718
77,0.763497
78,0.76536
79,0.767869
80,0.785069
81,0.814381
82,0.822362
83,0.838739
84,0.876445
85,0.887231
86,0.887797
87,0.896864
88,0.916058
89,0.925975
90,0.95395
91,0.987689
92,0.992054
93,1.070143
94,1.114389
95,1.191588
96,1.237759
97,1.427098
98,1.528135
99,1.723853
100,2.033592
100,2.077099
