no_instances,time_spent
0,0
1,0.916357
2,1.888792
3,2.00138
4,2.070098
5,2.103557
6,2.107881
7,2.157958
8,2.333048
9,2.383389
10,2.389112
11,2.737332
12,2.796656
13,2.847736
14,2.877569
15,3.104172
16,3.121541
17,3.123002
18,3.12691
19,3.196474
20,3.22768
21,3.246805
22,3.311766
23,3.334806
24,3.416635
25,3.448908
26,3.488622
27,3.537024
28,3.540358
29,3.586752
30,3.598653
31,3.613403
32,3.650375
33,3.652163
34,3.710571
35,3.71617
36,3.731939
37,3.748149
38,3.748453
39,3.765898
40,3.769541
41,3.806726
42,3.929607
43,4.0795
44,4.079538
45,4.120669
46,4.133623
47,4.158178
48,4.177448
49,4.21109
50,4.21756
51,4.293229
52,4.326161
53,4.35539
54,4.399506
55,4.410612
56,4.480022
57,4.51354
58,4.520269
59,4.545776
60,4.558961
61,4.584667
62,4.642255
63,4.720239
64,4.853366
65,4.854007
66,4.918687
67,4.937539
68,4.946056
69,5.057257
70,5.115429
71,5.292907
72,5.365895
73,5.580035
74,5.624552
75,6.056377
76,6.31337
77,6.665673
78,6.913804
79,6.917026
80,7.043475
81,7.061251
82,7.145052
83,7.24133
84,7.32334
85,7.556947
86,7.696755
87,8.03869
88,8.208139
89,8.315774
90,8.364848
91,8.499959
92,8.589864
93,8.742891
94,9.286612
95,9.444173
96,9.792083
97,10.026431
98,12.231713
99,14.795951
100,15.903936
100,16.404938
