no_instances,time_spent
0,0
1,0.961328
2,1.850508
3,2.07063
4,2.213948
5,2.356572
6,2.691591
7,2.787034
8,2.834149
9,2.886898
10,2.955062
11,3.00892
12,3.098077
13,3.109666
14,3.11698
15,3.225733
16,3.319206
17,3.372377
18,3.382186
19,3.392345
20,3.409454
21,3.418662
22,3.436867
23,3.46025
24,3.541868
25,3.588752
26,3.594425
27,3.703183
28,3.712294
29,3.751467
30,3.765781
31,3.773713
32,3.879412
33,3.897067
34,3.977624
35,3.977784
36,3.9849
37,3.984926
38,4.009968
39,4.022887
40,4.099113
41,4.115447
42,4.222077
43,4.251757
44,4.258876
45,4.296528
46,4.375785
47,4.376296
48,4.419135
49,4.507664
50,4.550081
51,4.581083
52,4.623172
53,4.68746
54,4.700387
55,4.88583
56,4.96021
57,4.961626
58,4.986924
59,4.994821
60,5.088611
61,5.173537
62,5.196481
63,5.228364
64,5.298872
65,5.311114
66,5.467941
67,5.620767
68,5.680544
69,5.695955
70,5.872094
71,5.901187
72,6.125715
73,6.238855
74,6.354992
75,6.425615
76,6.799653
77,6.910211
78,7.184269
79,7.221062
80,7.347234
81,7.530032
82,7.765562
83,7.863137
84,8.054857
85,8.560713
86,8.611343
87,8.650823
88,8.780334
89,8.981279
90,9.15248
91,9.298111
92,9.453564
93,9.501847
94,10.128499
95,10.427063
96,11.190667
97,11.278452
98,13.530878
99,15.355104
100,15.389381
100,16.404938
