no_instances,no_subproblems_performed
0,0
1,10
2,23
3,26
4,29
5,31
6,32
7,33
8,34
9,34
10,35
11,36
12,37
13,38
14,38
15,38
16,39
17,40
18,40
19,40
20,42
21,42
22,44
23,49
24,49
25,51
26,52
27,57
28,57
29,58
30,59
31,62
32,62
33,64
34,66
35,66
36,67
37,68
38,68
39,70
40,73
41,73
42,74
43,74
44,77
45,77
46,79
47,80
48,80
49,80
50,83
51,84
52,84
53,84
54,85
55,88
56,89
57,91
58,92
59,92
60,95
61,99
62,99
63,99
64,100
65,101
66,103
67,103
68,106
69,107
70,110
71,113
72,115
73,116
74,117
75,118
76,122
77,122
78,123
79,124
80,125
81,125
82,127
83,129
84,133
85,134
86,134
87,148
88,155
89,156
90,166
91,167
92,168
93,179
94,199
95,204
96,214
97,215
98,240
99,285
100,452
100,765
