no_instances,time_spent
0,0
1,0.041477
2,0.046202
3,0.05301
4,0.053432
5,0.054083
6,0.056838
7,0.056839
8,0.059796
9,0.060696
10,0.06212
11,0.062208
12,0.062319
13,0.062898
14,0.063849
15,0.066149
16,0.067502
17,0.259566
18,0.286432
19,0.296079
20,0.296797
21,0.298309
22,0.303875
23,0.304732
24,0.306897
25,0.308603
26,0.315232
27,0.32163
28,0.324232
29,0.327935
30,0.329205
31,0.32928
32,0.330038
33,0.333407
34,0.338394
35,0.339185
36,0.340821
37,0.342141
38,0.348047
39,0.352349
40,0.353247
41,0.358922
42,0.367233
43,0.369175
44,0.371531
45,0.372512
46,0.37386
47,0.376605
48,0.382466
49,0.39314
50,0.399967
51,0.408725
52,0.4148
53,0.450168
54,0.496422
55,0.504296
56,0.505877
57,0.524578
58,0.529844
59,0.536084
60,0.537865
61,0.539417
62,0.540241
63,0.541455
64,0.554837
65,0.55798
66,0.570428
67,0.597984
68,0.60863
69,0.614999
70,0.61871
71,0.620732
72,0.642629
73,0.664023
74,0.67394
75,0.708838
76,0.724971
77,0.736658
78,0.759618
79,0.767315
80,0.772514
81,0.77795
82,0.847713
83,0.856955
84,0.87461
85,0.882973
86,0.893393
87,0.897029
88,0.923593
89,0.930161
90,0.952174
91,1.011349
92,1.051828
93,1.11093
94,1.162854
95,1.176473
96,1.256233
97,1.315734
98,1.433533
99,1.538007
100,1.856021
100,2.283195
