no_instances,time_spent
0,0
1,0.577021
2,0.796097
3,0.933582
4,0.961208
5,0.995896
6,1.047728
7,1.140221
8,1.15642
9,1.171304
10,1.18934
11,1.256301
12,1.291102
13,1.30509
14,1.318809
15,1.32119
16,1.328133
17,1.344857
18,1.355624
19,1.358158
20,1.372446
21,1.39929
22,1.408568
23,1.446616
24,1.473623
25,1.495239
26,1.535042
27,1.543975
28,1.545942
29,1.563462
30,1.60682
31,1.615872
32,1.627623
33,1.636756
34,1.663617
35,1.668946
36,1.749155
37,1.880241
38,1.971703
39,1.977682
40,2.010899
41,2.022057
42,2.064086
43,2.08495
44,2.102856
45,2.114767
46,2.121809
47,2.203915
48,2.245541
49,2.246309
50,2.247668
51,2.340305
52,2.3662
53,2.373876
54,2.375592
55,2.456762
56,2.489784
57,2.506066
58,2.545212
59,2.557086
60,2.631474
61,2.64316
62,2.644115
63,2.684838
64,2.711657
65,2.810454
66,2.872927
67,2.914649
68,2.974291
69,3.001845
70,3.023041
71,3.066365
72,3.168428
73,3.174185
74,3.176536
75,3.228731
76,3.327655
77,3.341777
78,3.434991
79,3.522737
80,3.569935
81,3.592745
82,3.648654
83,3.894134
84,4.151666
85,4.160508
86,4.324274
87,4.418318
88,4.447332
89,4.931328
90,5.239108
91,5.321515
92,6.885229
93,8.274425
94,8.757207
95,8.913876
96,9.563085
97,9.963513
98,10.708285
99,11.458323
100,11.480273
100,15.903936
