no_instances,no_subproblems_performed
0,0
1,5
2,5
3,5
4,5
5,5
6,8
7,9
8,9
9,9
10,9
11,9
12,10
13,11
14,11
15,13
16,13
17,13
18,13
19,13
20,14
21,14
22,14
23,16
24,17
25,17
26,17
27,17
28,17
29,17
30,17
31,18
32,18
33,18
34,19
35,19
36,19
37,19
38,20
39,21
40,21
41,21
42,21
43,21
44,21
45,21
46,22
47,22
48,22
49,23
50,23
51,24
52,25
53,25
54,25
55,25
56,25
57,26
58,26
59,26
60,26
61,27
62,28
63,29
64,29
65,30
66,30
67,30
68,31
69,31
70,31
71,33
72,33
73,35
74,36
75,37
76,37
77,37
78,37
79,38
80,38
81,38
82,38
83,38
84,38
85,39
86,40
87,41
88,41
89,42
90,45
91,45
92,46
93,46
94,47
95,55
96,57
97,58
98,63
99,63
100,74
100,272
