no_instances,time_spent
0,0
1,1.633168
2,1.896045
3,2.080836
4,2.305467
5,2.315104
6,2.445082
7,2.461836
8,2.558257
9,2.575577
10,2.587793
11,2.640902
12,2.785431
13,2.832285
14,2.861437
15,2.866126
16,2.961128
17,3.179468
18,3.231665
19,3.334356
20,3.516699
21,3.551127
22,3.601153
23,3.679674
24,3.735084
25,3.921101
26,3.927943
27,3.934806
28,3.944279
29,4.105727
30,4.267752
31,4.70579
32,5.053893
33,5.162692
34,5.393457
35,5.864416
36,6.065089
37,6.601556
38,6.783533
39,6.914057
40,7.000539
41,7.124869
42,7.193366
43,7.238077
44,7.416101
45,7.461267
46,8.240977
47,8.540626
48,9.127791
49,9.507008
50,9.704454
51,10.29539
52,10.517801
53,11.565734
54,11.601506
55,11.766013
56,11.784236
57,11.981653
58,12.154142
59,13.193348
60,13.401159
61,13.844796
62,14.961929
63,15.246842
64,15.530181
65,15.841436
66,15.844758
67,16.515378
68,16.890039
69,17.915362
70,18.281987
71,18.437142
72,18.444943
73,18.952269
74,19.103129
75,19.155443
76,20.953859
77,23.119735
78,23.334492
79,25.847502
80,29.239382
81,30.066966
82,32.630367
83,33.502988
84,35.847114
85,36.058121
86,36.594363
87,38.711889
88,38.978815
89,41.962545
90,43.411716
91,45.996846
92,48.634588
93,58.676351
94,75.719322
95,103.558465
96,111.022941
97,124.888897
98,148.149864
99,161.470845
100,390.973171
100,414.212917
