no_instances,no_benders_iteration
0,0
1,8
2,9
3,11
4,11
5,12
6,12
7,12
8,13
9,13
10,13
11,13
12,14
13,14
14,14
15,15
16,15
17,15
18,15
19,16
20,16
21,16
22,17
23,17
24,17
25,17
26,18
27,19
28,19
29,19
30,19
31,20
32,20
33,20
34,21
35,21
36,21
37,22
38,23
39,24
40,25
41,26
42,26
43,26
44,28
45,29
46,30
47,30
48,30
49,31
50,31
51,33
52,33
53,34
54,36
55,36
56,37
57,37
58,37
59,37
60,37
61,37
62,38
63,38
64,38
65,39
66,40
67,40
68,41
69,41
70,42
71,43
72,43
73,43
74,45
75,45
76,46
77,47
78,49
79,54
80,56
81,58
82,60
83,61
84,62
85,62
86,66
87,67
88,69
89,73
90,79
91,98
92,99
93,104
94,111
95,157
96,165
97,170
98,181
99,225
100,445
100,553
