no_instances,no_subproblems_performed
0,0
1,5
2,5
3,5
4,5
5,9
6,9
7,11
8,13
9,15
10,15
11,15
12,16
13,17
14,17
15,17
16,17
17,18
18,18
19,18
20,19
21,19
22,20
23,20
24,21
25,21
26,22
27,22
28,22
29,23
30,24
31,24
32,24
33,25
34,26
35,26
36,26
37,27
38,27
39,27
40,28
41,28
42,29
43,30
44,31
45,31
46,33
47,34
48,34
49,34
50,35
51,35
52,35
53,35
54,35
55,35
56,36
57,37
58,37
59,38
60,39
61,39
62,39
63,40
64,41
65,41
66,41
67,42
68,42
69,43
70,43
71,45
72,45
73,46
74,47
75,48
76,48
77,49
78,49
79,52
80,53
81,54
82,54
83,54
84,56
85,61
86,63
87,65
88,65
89,66
90,66
91,66
92,67
93,69
94,69
95,70
96,72
97,73
98,74
99,76
100,91
100,272
