no_instances,no_subproblems_performed
0,0
1,5
2,5
3,5
4,5
5,5
6,8
7,9
8,9
9,9
10,9
11,9
12,9
13,10
14,11
15,11
16,13
17,13
18,13
19,13
20,14
21,15
22,15
23,16
24,16
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,18
33,18
34,18
35,19
36,19
37,19
38,19
39,20
40,21
41,21
42,21
43,21
44,21
45,21
46,21
47,21
48,21
49,22
50,22
51,22
52,22
53,22
54,23
55,24
56,25
57,25
58,26
59,26
60,26
61,26
62,27
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,30
71,30
72,32
73,33
74,33
75,33
76,33
77,34
78,35
79,36
80,36
81,37
82,37
83,37
84,38
85,38
86,38
87,39
88,40
89,40
90,41
91,41
92,44
93,46
94,46
95,50
96,61
97,62
98,65
99,66
100,80
100,272
