no_instances,no_subproblems_performed
0,0
1,16
2,17
3,17
4,17
5,17
6,29
7,31
8,32
9,32
10,32
11,32
12,33
13,45
14,46
15,46
16,47
17,47
18,47
19,47
20,47
21,47
22,47
23,47
24,49
25,60
26,60
27,61
28,61
29,62
30,62
31,62
32,62
33,62
34,62
35,63
36,63
37,63
38,64
39,64
40,64
41,72
42,73
43,74
44,74
45,74
46,75
47,75
48,76
49,76
50,76
51,76
52,76
53,76
54,77
55,77
56,78
57,78
58,78
59,78
60,78
61,89
62,89
63,90
64,91
65,91
66,91
67,92
68,92
69,92
70,93
71,93
72,95
73,95
74,105
75,106
76,106
77,106
78,107
79,114
80,119
81,120
82,120
83,120
84,124
85,125
86,127
87,127
88,130
89,132
90,132
91,135
92,139
93,146
94,148
95,149
96,161
97,176
98,179
99,188
100,201
100,272
