no_instances,no_subproblems_performed
0,0
1,229
2,233
3,270
4,293
5,297
6,308
7,339
8,342
9,344
10,350
11,368
12,371
13,374
14,382
15,384
16,390
17,411
18,414
19,426
20,427
21,427
22,444
23,459
24,470
25,480
26,488
27,490
28,490
29,496
30,503
31,513
32,526
33,538
34,543
35,548
36,560
37,562
38,569
39,570
40,581
41,595
42,629
43,640
44,653
45,660
46,666
47,667
48,690
49,691
50,698
51,699
52,703
53,730
54,741
55,756
56,757
57,772
58,774
59,783
60,783
61,795
62,818
63,820
64,848
65,902
66,922
67,924
68,949
69,950
70,1026
71,1060
72,1082
73,1102
74,1117
75,1119
76,1128
77,1155
78,1156
79,1196
80,1230
81,1239
82,1287
83,1327
84,1372
85,1466
86,1515
87,1537
88,1551
89,1554
90,1579
91,2064
92,2064
93,2334
94,2355
95,2412
96,2495
97,3110
98,3904
99,4000
100,10117
100,10117
