no_instances,no_subproblems_performed
0,0
1,40
2,43
3,47
4,47
5,48
6,59
7,60
8,60
9,60
10,63
11,71
12,80
13,80
14,82
15,82
16,84
17,85
18,85
19,86
20,88
21,90
22,92
23,96
24,102
25,110
26,114
27,114
28,115
29,119
30,123
31,129
32,144
33,145
34,145
35,172
36,174
37,182
38,185
39,196
40,208
41,210
42,213
43,213
44,214
45,214
46,218
47,225
48,231
49,244
50,245
51,254
52,262
53,266
54,268
55,318
56,319
57,332
58,340
59,342
60,345
61,350
62,355
63,360
64,368
65,382
66,383
67,384
68,387
69,398
70,418
71,443
72,471
73,483
74,498
75,531
76,540
77,553
78,566
79,642
80,666
81,672
82,673
83,686
84,693
85,707
86,735
87,855
88,916
89,963
90,992
91,1210
92,1258
93,1381
94,1410
95,1411
96,1769
97,1824
98,2129
99,4125
100,7753
100,10117
