no_instances,no_benders_iteration
0,0
1,9
2,11
3,11
4,12
5,12
6,12
7,13
8,14
9,14
10,15
11,15
12,16
13,16
14,16
15,17
16,17
17,17
18,18
19,18
20,19
21,19
22,19
23,20
24,20
25,21
26,21
27,21
28,21
29,23
30,23
31,24
32,24
33,25
34,25
35,25
36,26
37,27
38,27
39,28
40,28
41,28
42,29
43,29
44,29
45,29
46,29
47,31
48,31
49,32
50,32
51,32
52,32
53,33
54,34
55,37
56,37
57,37
58,38
59,39
60,40
61,40
62,42
63,42
64,44
65,44
66,45
67,45
68,45
69,46
70,47
71,49
72,50
73,50
74,51
75,52
76,52
77,53
78,54
79,57
80,65
81,65
82,66
83,68
84,70
85,73
86,75
87,76
88,90
89,92
90,97
91,106
92,107
93,118
94,126
95,147
96,158
97,162
98,181
99,189
100,415
100,553
