no_instances,time_spent
0,0
1,4.680391
2,5.045412
3,5.240032
4,5.762342
5,6.419941
6,6.449186
7,6.785808
8,7.277864
9,7.465706
10,7.659024
11,8.059525
12,8.060936
13,8.087449
14,8.96497
15,9.316427
16,9.54628
17,9.665958
18,9.761951
19,9.856132
20,9.86499
21,9.896425
22,9.897002
23,9.986929
24,10.095016
25,10.150346
26,10.169669
27,10.306508
28,10.410356
29,10.456452
30,10.501369
31,10.551168
32,11.170577
33,11.556037
34,12.010482
35,12.12906
36,12.593909
37,12.706363
38,12.904916
39,12.926398
40,12.936919
41,13.23163
42,13.451383
43,13.709796
44,14.242723
45,14.292314
46,14.382026
47,14.808158
48,14.869569
49,15.036676
50,15.091276
51,15.153621
52,15.34609
53,15.440671
54,15.759835
55,17.003157
56,17.754581
57,18.279711
58,18.426039
59,18.747474
60,19.001927
61,19.34363
62,19.636813
63,19.816714
64,21.212048
65,22.137784
66,22.22308
67,22.545353
68,23.529867
69,23.815786
70,23.822307
71,24.053708
72,25.830981
73,26.272651
74,26.349113
75,26.587302
76,27.125785
77,27.550722
78,28.33333
79,29.63034
80,30.062634
81,30.363402
82,31.113329
83,31.623752
84,32.750964
85,34.304959
86,39.291994
87,43.208253
88,47.012389
89,47.941054
90,52.567092
91,57.325592
92,63.309519
93,66.302985
94,72.374839
95,76.086732
96,99.683921
97,100.258295
98,112.521164
99,130.616493
100,300.14197
100,443.880649
