no_instances,time_spent
0,0
1,4.937317
2,5.298319
3,5.920653
4,6.097369
5,6.517997
6,6.578382
7,6.677598
8,7.117562
9,7.443419
10,7.500487
11,7.668895
12,8.095498
13,8.167037
14,8.176542
15,8.239337
16,8.315428
17,8.387852
18,8.806084
19,9.075199
20,9.122253
21,9.497009
22,9.519882
23,9.594433
24,9.954879
25,10.058806
26,10.08981
27,10.129312
28,10.252204
29,10.557351
30,10.604728
31,10.848959
32,11.557339
33,11.75066
34,11.950452
35,11.975567
36,12.001628
37,12.424484
38,12.670478
39,12.980895
40,13.714399
41,14.032224
42,14.233875
43,14.803046
44,14.933856
45,15.14908
46,15.309366
47,15.452667
48,15.540156
49,16.581928
50,17.120879
51,17.185866
52,17.242631
53,17.28215
54,17.330851
55,17.584276
56,17.839388
57,17.888057
58,18.224714
59,18.248583
60,18.273268
61,18.369918
62,18.530444
63,18.847678
64,19.637367
65,19.883894
66,20.390092
67,20.456964
68,20.916171
69,21.273637
70,22.78001
71,24.885787
72,24.925542
73,25.326906
74,26.257776
75,28.507729
76,28.768525
77,29.431359
78,29.446016
79,30.092998
80,30.170477
81,30.217914
82,31.166748
83,33.880694
84,34.122378
85,34.542059
86,37.021999
87,41.901413
88,42.637955
89,47.459669
90,48.078298
91,51.515687
92,61.769256
93,66.062444
94,69.159878
95,79.780312
96,95.315668
97,103.363194
98,106.653012
99,125.152477
100,414.212917
100,443.880649
