no_instances,time_spent
0,0
1,2.044099
2,2.085593
3,2.15316
4,2.28605
5,2.307603
6,2.603214
7,2.615588
8,2.641789
9,2.707329
10,2.891852
11,2.966559
12,3.147067
13,3.405644
14,3.554287
15,3.745208
16,3.798987
17,3.885243
18,3.911816
19,3.937224
20,3.989845
21,4.002819
22,4.062443
23,4.129905
24,4.244325
25,4.559079
26,4.780189
27,5.126095
28,5.226956
29,5.50377
30,5.574978
31,5.938176
32,6.248341
33,6.819261
34,6.840956
35,6.917496
36,6.95334
37,6.964044
38,7.200111
39,7.223584
40,7.820045
41,7.860934
42,7.942006
43,8.49199
44,8.764078
45,9.053147
46,9.304193
47,9.516894
48,9.565292
49,9.599802
50,9.926984
51,10.167608
52,10.751181
53,10.800662
54,10.906948
55,11.261872
56,11.66921
57,12.070586
58,12.250312
59,12.321305
60,12.358568
61,12.643252
62,13.023104
63,13.567585
64,13.571493
65,13.784903
66,14.954057
67,16.052267
68,17.984943
69,18.077113
70,18.132965
71,19.440005
72,22.280786
73,23.378148
74,26.11191
75,26.46079
76,27.415296
77,28.753059
78,29.58174
79,29.635785
80,31.395065
81,31.693592
82,33.469428
83,34.742036
84,35.620606
85,36.680785
86,36.971186
87,38.570525
88,49.218384
89,56.444713
90,61.470242
91,62.20511
92,84.850628
93,90.588814
94,91.129474
95,100.068971
96,117.308297
97,118.107402
98,187.508519
99,321.602168
100,429.14526
100,443.880649
