no_instances,no_subproblems_performed
0,0
1,206
2,243
3,256
4,272
5,275
6,292
7,294
8,344
9,357
10,361
11,370
12,373
13,384
14,420
15,421
16,422
17,434
18,438
19,439
20,439
21,446
22,462
23,463
24,466
25,470
26,470
27,473
28,475
29,482
30,494
31,505
32,535
33,544
34,546
35,548
36,556
37,557
38,571
39,577
40,579
41,594
42,595
43,607
44,632
45,634
46,646
47,650
48,662
49,678
50,680
51,682
52,686
53,711
54,723
55,736
56,797
57,808
58,816
59,816
60,816
61,818
62,850
63,855
64,870
65,870
66,891
67,946
68,1005
69,1020
70,1044
71,1053
72,1061
73,1073
74,1089
75,1101
76,1116
77,1172
78,1190
79,1226
80,1236
81,1246
82,1298
83,1353
84,1396
85,1500
86,1513
87,1531
88,1615
89,1632
90,1694
91,1741
92,1953
93,2359
94,2424
95,2432
96,3019
97,3397
98,3641
99,4051
100,7612
100,10709
